Product_ID,Rating,Product type,Count_Product_ID,Frequency level,Age group
767,4,Intimate,2,Rare,31-40
1080,5,Dresses,289,Frequent,31-40
1077,3,Dresses,297,Frequent,51-60
1049,5,Bottoms,32,Less Frequent,41-50
847,5,Tops,4,Rare,41-50
1080,2,Dresses,289,Frequent,41-50
858,5,Tops,21,Less Frequent,31-40
858,4,Tops,21,Less Frequent,31-40
1077,5,Dresses,297,Frequent,21-30
1077,5,Dresses,297,Frequent,31-40
1077,3,Dresses,297,Frequent,51-60
1095,5,Dresses,327,Frequent,31-40
1095,5,Dresses,327,Frequent,51-60
767,5,Intimate,2,Rare,41-50
1077,3,Dresses,297,Frequent,41-50
1065,4,Bottoms,16,Less Frequent,41-50
1065,3,Bottoms,16,Less Frequent,31-40
853,5,Tops,6,Less Frequent,41-50
1120,5,Jackets,2,Rare,31-40
1077,5,Dresses,297,Frequent,41-50
847,4,Tops,4,Rare,31-40
1080,4,Dresses,289,Frequent,51-60
1077,2,Dresses,297,Frequent,31-40
1077,3,Dresses,297,Frequent,31-40
847,5,Tops,4,Rare,51-60
697,3,Intimate,2,Rare,31-40
949,2,Tops,79,Frequent,31-40
1003,4,Bottoms,22,Less Frequent,31-40
684,5,Intimate,2,Rare,51-60
4,5,Tops,1,Rare,21-30
1060,5,Bottoms,103,Frequent,31-40
1060,5,Bottoms,103,Frequent,41-50
1060,5,Bottoms,103,Frequent,21-30
949,2,Tops,79,Frequent,31-40
697,5,Intimate,2,Rare,31-40
1060,4,Bottoms,103,Frequent,60+
1002,4,Bottoms,13,Less Frequent,21-30
949,5,Tops,79,Frequent,31-40
684,5,Intimate,2,Rare,31-40
862,5,Tops,806,Highly Frequent,51-60
862,4,Tops,806,Highly Frequent,41-50
862,5,Tops,806,Highly Frequent,31-40
910,5,Tops,4,Rare,21-30
89,4,Intimate,1,Rare,60+
862,5,Tops,806,Highly Frequent,41-50
862,4,Tops,806,Highly Frequent,41-50
862,5,Tops,806,Highly Frequent,31-40
823,5,Tops,105,Frequent,51-60
910,5,Tops,4,Rare,51-60
862,5,Tops,806,Highly Frequent,31-40
862,4,Tops,806,Highly Frequent,41-50
862,5,Tops,806,Highly Frequent,41-50
1104,3,Dresses,185,Frequent,31-40
862,5,Tops,806,Highly Frequent,31-40
862,4,Tops,806,Highly Frequent,60+
862,5,Tops,806,Highly Frequent,60+
368,2,Intimate,3,Rare,31-40
862,3,Tops,806,Highly Frequent,31-40
1095,4,Dresses,327,Frequent,31-40
368,4,Intimate,3,Rare,51-60
1095,5,Dresses,327,Frequent,41-50
368,1,Intimate,3,Rare,31-40
862,5,Tops,806,Highly Frequent,21-30
862,5,Tops,806,Highly Frequent,51-60
862,5,Tops,806,Highly Frequent,41-50
862,4,Tops,806,Highly Frequent,51-60
862,4,Tops,806,Highly Frequent,51-60
862,5,Tops,806,Highly Frequent,31-40
862,2,Tops,806,Highly Frequent,31-40
1078,3,Dresses,1024,Highly Frequent,51-60
845,4,Tops,6,Less Frequent,31-40
822,2,Tops,36,Less Frequent,31-40
850,5,Tops,338,Frequent,21-30
866,4,Tops,121,Frequent,41-50
1081,5,Dresses,582,Highly Frequent,51-60
845,5,Tops,6,Less Frequent,41-50
1082,4,Dresses,147,Frequent,31-40
850,2,Tops,338,Frequent,21-30
836,5,Tops,205,Frequent,41-50
1081,4,Dresses,582,Highly Frequent,60+
1072,5,Dresses,197,Frequent,60+
863,5,Tops,306,Frequent,60+
1133,5,Jackets,10,Less Frequent,31-40
822,5,Tops,36,Less Frequent,60+
861,3,Tops,244,Frequent,31-40
866,1,Tops,121,Frequent,51-60
850,4,Tops,338,Frequent,31-40
1081,4,Dresses,582,Highly Frequent,31-40
845,2,Tops,6,Less Frequent,31-40
836,4,Tops,205,Frequent,21-30
1078,4,Dresses,1024,Highly Frequent,51-60
850,5,Tops,338,Frequent,21-30
861,5,Tops,244,Frequent,21-30
1081,5,Dresses,582,Highly Frequent,31-40
850,4,Tops,338,Frequent,21-30
863,5,Tops,306,Frequent,60+
845,1,Tops,6,Less Frequent,41-50
861,1,Tops,244,Frequent,41-50
1133,5,Jackets,10,Less Frequent,41-50
861,3,Tops,244,Frequent,31-40
861,4,Tops,244,Frequent,31-40
863,4,Tops,306,Frequent,31-40
822,5,Tops,36,Less Frequent,60+
822,2,Tops,36,Less Frequent,21-30
863,2,Tops,306,Frequent,51-60
836,5,Tops,205,Frequent,60+
836,4,Tops,205,Frequent,41-50
836,4,Tops,205,Frequent,60+
836,5,Tops,205,Frequent,21-30
1081,5,Dresses,582,Highly Frequent,41-50
861,1,Tops,244,Frequent,41-50
1081,3,Dresses,582,Highly Frequent,41-50
836,5,Tops,205,Frequent,41-50
1081,5,Dresses,582,Highly Frequent,60+
1082,2,Dresses,147,Frequent,31-40
863,4,Tops,306,Frequent,51-60
1072,4,Dresses,197,Frequent,51-60
1078,5,Dresses,1024,Highly Frequent,31-40
850,2,Tops,338,Frequent,31-40
836,5,Tops,205,Frequent,51-60
861,5,Tops,244,Frequent,31-40
966,5,Jackets,23,Less Frequent,60+
1196,5,Dresses,1,Rare,21-30
836,5,Tops,205,Frequent,21-30
923,3,Tops,9,Less Frequent,41-50
1072,3,Dresses,197,Frequent,31-40
1133,4,Jackets,10,Less Frequent,60+
1133,5,Jackets,10,Less Frequent,21-30
966,4,Jackets,23,Less Frequent,51-60
863,5,Tops,306,Frequent,21-30
845,4,Tops,6,Less Frequent,60+
1081,3,Dresses,582,Highly Frequent,31-40
861,4,Tops,244,Frequent,41-50
966,5,Jackets,23,Less Frequent,31-40
845,5,Tops,6,Less Frequent,60+
861,4,Tops,244,Frequent,31-40
966,4,Jackets,23,Less Frequent,31-40
836,4,Tops,205,Frequent,51-60
126,4,Intimate,1,Rare,31-40
1008,5,Bottoms,186,Frequent,31-40
829,5,Tops,527,Highly Frequent,31-40
828,4,Tops,225,Frequent,31-40
1126,5,Jackets,42,Frequent,31-40
1008,5,Bottoms,186,Frequent,51-60
829,3,Tops,527,Highly Frequent,31-40
828,3,Tops,225,Frequent,31-40
1008,5,Bottoms,186,Frequent,31-40
1011,5,Bottoms,20,Less Frequent,41-50
1008,5,Bottoms,186,Frequent,60+
